RTH #	RSH #	RTK #	TH	SH	K	H POS	RTH Keyword	RSH Keyword	RTK Keyword	RTH Read	TH Read	RTH Lesson	RSH Lesson	RTK Lesson	K and H check	SH and TH check	K and TH keywords	SH and TH keywords	K and H Visual Check	orthodox	prc_variant	jpn_variant	is_duplicate
283	312	294	客	客	客		guest	guest	guest	kè	kè	RTH1-L13	RSH1-L13	RTK1v5-L13	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		客			FALSE
284	313	295	額	额	額		forehead	forehead	forehead	é	é	RTH1-L13	RSH1-L13	RTK1v5-L13	K = TH	SH <> TH	K key = TH key	SH key = TH key		額	额		FALSE
285	314	296	夏	夏	夏		summer	summer	summer	xià	xià	RTH1-L13	RSH1-L13	RTK1v5-L13	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		夏			FALSE
286	315	2302	洛	洛	洛		L.A.	L.A.	old Kyoto	luò	Luò	RTH1-L13	RSH1-L13	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		洛			FALSE
287	316	299	落	落	落	v.	fall	fall	fall	luò	luò|là|lào|luō	RTH1-L13	RSH1-L13	RTK1v5-L13	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		落			FALSE
288	318	300	冗	冗	冗		superfluous	superfluous	superfluous	rǒng	rǒng	RTH1-L14	RSH1-L14	RTK1v5-L14	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		冗			FALSE
289	319		沉	沉	沉		profound	profound		chén	chén|chēn	RTH1-L14	RSH1-L14		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		沉			FALSE
290	320	301	軍	军	軍		army	army	army	jūn	jūn	RTH1-L14	RSH1-L14	RTK1v5-L14	K = TH	SH <> TH	K key = TH key	SH key = TH key		軍	军		FALSE
291	321	302	輝	辉	輝		radiance	radiance	radiance	huī	huī	RTH1-L14	RSH1-L14	RTK1v5-L14	K = TH	SH <> TH	K key = TH key	SH key = TH key		輝	辉		FALSE
292	429	303	運	运	運		carry	carry	carry	yùn	yùn	RTH1-L14	RSH1-L18	RTK1v5-L14	K = TH	SH <> TH	K key = TH key	SH key = TH key		運	运		FALSE
293	322	304	冠	冠	冠	n.	crown	crown	crown	guān	guàn|guān	RTH1-L14	RSH1-L14	RTK1v5-L14	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		冠			FALSE
294	205	305	夢	梦	夢	n.	dream	dream	dream	mèng	mèng	RTH1-L14	RSH1-L10	RTK1v5-L14	K = TH	SH <> TH	K key = TH key	SH key = TH key		夢	梦		FALSE
295	323	306	坑	坑	坑	n.	pit	pit	pit	kēng	kēng	RTH1-L14	RSH1-L14	RTK1v5-L14	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		坑			FALSE
296	325	307	高	高	高		tall	tall	tall	gāo	gāo	RTH1-L14	RSH1-L14	RTK1v5-L14	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		高			FALSE
